record timestamp,client timestamp,button,state,x,y
0.0,3.650283098220825,NoButton,Drag,1078,509
0.0,3.6590988636016846,NoButton,Drag,1076,509
0.0,3.6669921875,NoButton,Drag,1072,509
0.0,3.673858404159546,NoButton,Drag,1066,509
0.0,3.6832082271575928,NoButton,Drag,1056,509
0.0,3.6912505626678467,NoButton,Drag,1049,509
0.0,3.6981704235076904,NoButton,Drag,1042,509
0.0,3.707096576690674,NoButton,Drag,1035,509
0.0,3.7152395248413086,NoButton,Drag,1024,509
0.0,3.7221975326538086,NoButton,Drag,1015,509
0.0,3.731128692626953,NoButton,Drag,1005,509
0.0,3.7390830516815186,NoButton,Drag,998,509
0.0,3.7460436820983887,NoButton,Drag,995,509
0.0,3.7551562786102295,NoButton,Drag,993,509
0.0,3.8160037994384766,Left,Released,993,509
0.0,3.8451645374298096,NoButton,Move,993,509
0.0,3.8501064777374268,NoButton,Move,993,509
0.0,3.8927695751190186,NoButton,Move,994,509
0.0,3.8981993198394775,NoButton,Move,996,509
0.0,3.9052014350891113,NoButton,Move,997,509
0.0,3.913306951522827,NoButton,Move,998,509
0.0,3.94956111907959,NoButton,Move,999,509
0.0,3.961432456970215,NoButton,Move,1001,509
0.0,3.9770984649658203,NoButton,Move,1002,509
0.0,3.9944472312927246,NoButton,Move,1003,509
0.0,4.009508371353149,NoButton,Move,1005,509
0.0,4.018214464187622,NoButton,Move,1006,509
0.0,4.025017499923706,NoButton,Move,1006,509
0.0,4.033221960067749,NoButton,Move,1006,509
0.0,4.042293071746826,NoButton,Move,1007,508
0.0,4.049298524856567,NoButton,Move,1008,508
0.0,4.08551549911499,NoButton,Move,1008,507
0.0,4.089109182357788,NoButton,Move,1008,505
0.0,4.0970892906188965,NoButton,Move,1006,503
0.0,4.10523533821106,NoButton,Move,1001,501
0.0,4.1131627559661865,NoButton,Move,995,499
0.0,4.121551990509033,NoButton,Move,992,498
0.0,4.12895655632019,NoButton,Move,987,497
0.0,4.13694953918457,NoButton,Move,985,496
0.0,4.144899129867554,NoButton,Move,983,496
0.0,4.15300440788269,NoButton,Move,982,496
0.0,4.161016941070557,NoButton,Move,981,496
0.0,4.169031620025635,NoButton,Move,980,496
0.0,4.185508489608765,NoButton,Move,979,496
0.0,4.193078279495239,NoButton,Move,979,496
0.0,4.2012128829956055,NoButton,Move,978,496
0.0,4.303671836853027,Right,Pressed,978,496
0.0,4.393986463546753,NoButton,Drag,975,496
0.0,4.398393630981445,NoButton,Drag,970,496
0.0,4.405182361602783,NoButton,Drag,960,496
0.0,4.414184093475342,NoButton,Drag,946,496
0.0,4.42205810546875,NoButton,Drag,935,496
0.0,4.429099082946777,NoButton,Drag,914,496
0.0,4.438128471374512,NoButton,Drag,894,496
0.0,4.4460976123809814,NoButton,Drag,870,496
0.0,4.452949523925781,NoButton,Drag,849,496
0.0,4.462101221084595,NoButton,Drag,834,496
0.0,4.46998929977417,NoButton,Drag,823,496
0.0,4.477209806442261,NoButton,Drag,817,496
0.0,4.486311674118042,NoButton,Drag,812,496
0.0,4.493992805480957,NoButton,Drag,811,496
0.0,4.500967264175415,NoButton,Drag,809,496
0.0,4.526681423187256,Right,Released,809,496
0.0,4.541456937789917,NoButton,Move,809,496
0.0,4.550002813339233,NoButton,Move,810,496
0.0,4.558076858520508,NoButton,Move,813,496
0.0,4.565031051635742,NoButton,Move,814,496
0.0,4.57478404045105,NoButton,Move,815,496
0.0,4.58210825920105,NoButton,Move,816,496
0.0,4.8829405307769775,NoButton,Move,816,496
0.0,4.889336824417114,NoButton,Move,812,496
0.0,4.896860361099243,NoButton,Move,807,496
0.0,4.90449857711792,NoButton,Move,802,496
0.0,4.913111925125122,NoButton,Move,799,496
0.0,4.920079946517944,NoButton,Move,797,496
0.0,4.927994728088379,NoButton,Move,795,496
0.0,4.937080383300781,NoButton,Move,793,496
0.0,5.130418539047241,Left,Pressed,793,496
0.0,5.231969118118286,Left,Released,793,496
