PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
2	1	""	""	112	1778930540	1778930540	a	97
2	1	""	""	113	1778930540	1778930540	n	110
2	1	""	""	114	1778930540	1778930540	d	100
2	1	""	""	115	1778930540	1778930540	o	111
2	1	""	""	116	1778930540	1778930540	space	1047
2	1	""	""	117	1778930540	1778930540	a	97
2	1	""	""	118	1778930540	1778930540	space	1047
2	1	""	""	119	1778930541	1778930541	n	110
2	1	""	""	120	1778930541	1778930541	ç	231
2	1	""	""	121	1778930542	1778930542	backspace	1004
2	1	""	""	122	1778930543	1778930543	a	97
2	1	""	""	123	1778930543	1778930543	ç	231
2	1	""	""	124	1778930543	1778930543	~	126
2	1	""	""	125	1778930543	1778930543	a	97
2	1	""	""	126	1778930543	1778930543	o	111
2	1	""	""	127	1778930543	1778930543	space	1047
2	1	""	""	128	1778930543	1778930543	d	100
2	1	""	""	129	1778930543	1778930544	o	111
2	1	""	""	130	1778930544	1778930544	space	1047
2	1	""	""	131	1778930544	1778930544	f	102
2	1	""	""	132	1778930544	1778930544	o	111
2	1	""	""	133	1778930544	1778930544	g	103
2	1	""	""	134	1778930544	1778930544	o	111
2	1	""	""	135	1778930544	1778930544	space	1047
2	1	""	""	136	1778930545	1778930545	a	97
2	1	""	""	137	1778930545	1778930545	t	116
2	1	""	""	138	1778930545	1778930545	a	97
2	1	""	""	139	1778930545	1778930545	c	99
2	1	""	""	140	1778930545	1778930545	o	111
2	1	""	""	141	1778930545	1778930545	u	117
2	1	""	""	142	1778930559	1778930559		46
2	1	""	""	143	1778930560	1778930560	enter	1014
2	1	""	""	144	1778930560	1778930560	shift	1045
2	1	""	""	145	1778930560	1778930560	S	83
2	1	""	""	146	1778930561	1778930561	+	43
2	1	""	""	147	1778930561	1778930561	backspace	1004
2	1	""	""	148	1778930561	1778930561	´	180
2	1	""	""	149	1778930562	1778930562	o	111
2	1	""	""	150	1778930562	1778930562	space	1047
2	1	""	""	151	1778930562	1778930562	o	111
2	1	""	""	152	1778930562	1778930562	space	1047
2	1	""	""	153	1778930562	1778930562	a	97
2	1	""	""	154	1778930562	1778930562	v	118
2	1	""	""	155	1778930563	1778930563	a	97
2	1	""	""	156	1778930563	1778930563	t	116
2	1	""	""	157	1778930563	1778930563	a	97
2	1	""	""	158	1778930563	1778930563	r	114
2	1	""	""	159	1778930564	1778930564	,	44
2	1	""	""	160	1778930564	1778930564	space	1047
2	1	""	""	161	1778930564	1778930564	s	115
2	1	""	""	162	1778930564	1778930564	e	101
2	1	""	""	163	1778930564	1778930564	n	110
2	1	""	""	164	1778930564	1778930565	h	104
2	1	""	""	165	1778930565	1778930565	o	111
2	1	""	""	166	1778930565	1778930565	r	114
2	1	""	""	167	1778930565	1778930565	space	1047
2	1	""	""	168	1778930565	1778930565	d	100
2	1	""	""	169	1778930565	1778930565	o	111
2	1	""	""	170	1778930565	1778930565	s	115
2	1	""	""	171	1778930565	1778930565	space	1047
2	1	""	""	172	1778930566	1778930566	4	52
2	1	""	""	173	1778930566	1778930566	space	1047
2	1	""	""	174	1778930566	1778930566	e	101
2	1	""	""	175	1778930566	1778930566	l	108
2	1	""	""	176	1778930566	1778930566	e	101
2	1	""	""	177	1778930566	1778930567	m	109
2	1	""	""	178	1778930567	1778930567	e	101
2	1	""	""	179	1778930567	1778930567	n	110
2	1	""	""	180	1778930567	1778930568	t	116
2	1	""	""	181	1778930568	1778930568	o	111
2	1	""	""	182	1778930568	1778930568	s	115
2	1	""	""	183	1778930568	1778930568	space	1047
2	1	""	""	184	1778930568	1778930568	o	111
2	1	""	""	185	1778930568	1778930568	s	115
2	1	""	""	186	1778930568	1778930568	space	1047
2	1	""	""	187	1778930568	1778930568	p	112
2	1	""	""	188	1778930569	1778930569	o	111
2	1	""	""	189	1778930569	1778930569	d	100
2	1	""	""	190	1778930569	1778930569	e	101
2	1	""	""	191	1778930569	1778930569	space	1047
2	1	""	""	192	1778930569	1778930569	d	100
2	1	""	""	193	1778930569	1778930569	e	101
2	1	""	""	194	1778930569	1778930570	t	116
2	1	""	""	195	1778930569	1778930570	e	101
2	1	""	""	196	1778930570	1778930570	r	114
2	1	""	""	197	1778930570	1778930570	,	44
2	1	""	""	198	1778930570	1778930570	space	1047
2	1	""	""	199	1778930570	1778930570	m	109
2	1	""	""	200	1778930570	1778930570	a	97
2	1	""	""	201	1778930570	1778930570	s	115
2	1	""	""	202	1778930570	1778930571	space	1047
2	1	""	""	203	1778930571	1778930571	t	116
2	1	""	""	204	1778930571	1778930571	u	117
2	1	""	""	205	1778930571	1778930571	d	100
2	1	""	""	206	1778930571	1778930571	o	111
2	1	""	""	207	1778930571	1778930571	space	1047
2	1	""	""	208	1778930571	1778930571	m	109
2	1	""	""	209	1778930572	1778930572	u	117
2	1	""	""	210	1778930572	1778930572	d	100
2	1	""	""	211	1778930572	1778930572	o	111
2	1	""	""	212	1778930572	1778930572	u	117
2	1	""	""	213	1778930574	1778930575	backspace	1004
2	1	""	""	214	1778930575	1778930575	backspace	1004
2	1	""	""	215	1778930575	1778930575	backspace	1004
2	1	""	""	216	1778930575	1778930575	backspace	1004
2	1	""	""	217	1778930575	1778930575	backspace	1004
2	1	""	""	218	1778930575	1778930575	backspace	1004
2	1	""	""	219	1778930575	1778930575	backspace	1004
2	1	""	""	220	1778930575	1778930575	backspace	1004
2	1	""	""	221	1778930576	1778930576	backspace	1004
2	1	""	""	222	1778930576	1778930576	backspace	1004
2	1	""	""	223	1778930576	1778930576	q	113
2	1	""	""	224	1778930576	1778930576	u	117
2	1	""	""	225	1778930576	1778930576	a	97
2	1	""	""	226	1778930576	1778930576	n	110
2	1	""	""	227	1778930576	1778930577	d	100
2	1	""	""	228	1778930577	1778930577	o	111
2	1	""	""	229	1778930577	1778930577	space	1047
2	1	""	""	230	1778930577	1778930577	o	111
2	1	""	""	231	1778930577	1778930577	space	1047
2	1	""	""	232	1778930577	1778930577	m	109
2	1	""	""	233	1778930577	1778930577	u	117
2	1	""	""	234	1778930577	1778930577	n	110
2	1	""	""	235	1778930577	1778930577	d	100
2	1	""	""	236	1778930577	1778930578	o	111
2	1	""	""	237	1778930578	1778930578	space	1047
2	1	""	""	238	1778930578	1778930578	m	109
2	1	""	""	239	1778930578	1778930578	a	97
2	1	""	""	240	1778930578	1778930578	i	105
2	1	""	""	241	1778930578	1778930578	s	115
2	1	""	""	242	1778930578	1778930578	space	1047
