USER_ID,SESSION_ID,client timestamp,dt,dx,dy,distance,velocity,acceleration,angle,angle_change,curvature,is_idle,stroke_id,direction_bin,is_pressed,is_released,is_drag,is_overshoot,is_illeggal
1,7,0.9421021938323975,0.0037038326263427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,0.9427967071533203,0.001,0.0,1.0,1.0,1000.0,1000000.0,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,0.9438133239746094,0.0010166168212890625,0.0,0.0,0.0,0.0,-983654.7842401501,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,0.9457728862762451,0.001959562301635742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,0.947760820388794,0.001987934112548828,0.0,1.0,1.0,503.03478052290717,253043.99041572938,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,0.948824405670166,0.0010635852813720703,1.0,0.0,1.0,940.2160950459538,411044.90836791584,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,0.9497921466827393,0.001,0.0,0.0,0.0,0.0,-940216.0950459538,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,0.9507672786712646,0.001,1.0,0.0,1.0,1000.0,1000000.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,0.9517803192138672,0.001013040542602539,0.0,1.0,1.0,987.1273240762532,-12706.970138308974,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,0.9527950286865234,0.00101470947265625,0.0,0.0,0.0,0.0,-972817.6888821253,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,0.9537701606750488,0.001,1.0,0.0,1.0,1000.0,1000000.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,0.9547924995422363,0.0010223388671875,0.0,1.0,1.0,978.1492537313433,-21373.29115615952,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,0.9557855129241943,0.001,0.0,1.0,1.0,1000.0,21850.746268656734,1.5707963267948966,0.0,0.0,0,0,6.0,0,0,0,0,0
