PARTICIPANT_ID,TEST_SECTION_ID,PRESS_TIME,RELEASE_TIME,DWELL_TIME,FLIGHT_TIME,OVERLAP_TIME,DIGRAPH_LATENCY,TRIGRAPH_LATENCY,IS_CORRECTION,IS_NAVIGATION,CTRL_BACKSPACE_PATTERN,ROLLING_WPM,RHYTHM_VARIANCE
1,5,1779059162837,1779059162941,104,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
1,5,1779059162925,1779059163045,120,-16.0,16.0,88.0,0.0,0,0,0,0.0,0.0
1,5,1779059163173,1779059163277,104,128.0,0.0,248.0,336.0,0,0,0,0.0,101.82337649086284
1,5,1779059163301,1779059163453,152,24.0,0.0,128.0,376.0,0,0,0,0.0,74.33258594542055
1,5,1779059163461,1779059163596,135,8.0,0.0,160.0,288.0,0,0,0,0.0,63.49803146555018
1,5,1779059163589,1779059163748,159,-7.0,7.0,128.0,288.0,0,0,0,0.0,58.256330128150026
1,5,1779059163701,1779059163813,112,-47.0,47.0,112.0,240.0,0,0,0,0.0,60.31251943004868
1,5,1779059163901,1779059163997,96,88.0,0.0,200.0,312.0,0,0,0,0.0,61.584243501232095
1,5,1779059164117,1779059164205,88,120.0,0.0,216.0,416.0,0,0,0,0.0,66.09679049912873
1,5,1779059164309,1779059164397,88,104.0,0.0,192.0,408.0,0,0,0,0.0,65.70958834142853
1,5,1779059164348,1779059164492,144,-49.0,49.0,39.0,231.0,0,0,0,0.0,68.66836567477374
1,5,1779059164525,1779059164621,96,33.0,0.0,177.0,216.0,0,0,0,0.0,66.30870564597414
1,5,1779059164757,1779059164845,88,136.0,0.0,232.0,409.0,0,0,0,0.0,67.52283564345719
1,5,1779059164901,1779059164989,88,56.0,0.0,144.0,376.0,0,0,0,0.0,67.38578814887042
1,5,1779059164956,1779059165045,89,-33.0,33.0,55.0,199.0,0,0,0,0.0,70.98427055810792
1,5,1779059165165,1779059165261,96,120.0,0.0,209.0,264.0,0,0,0,0.0,72.95478051505603
1,5,1779059165389,1779059165453,64,128.0,0.0,224.0,433.0,0,0,0,0.0,67.11027409338222
1,5,1779059165597,1779059165677,80,144.0,0.0,208.0,432.0,0,0,0,0.0,70.97644366658247
1,5,1779059165789,1779059165869,80,112.0,0.0,192.0,400.0,0,0,0,0.0,70.46740775390815
1,5,1779059165917,1779059165965,48,48.0,0.0,128.0,320.0,0,0,0,0.0,70.13993948608105
1,5,1779059166101,1779059166165,64,136.0,0.0,184.0,312.0,0,0,0,0.0,58.91047822284626
1,5,1779059166292,1779059166397,105,127.0,0.0,191.0,375.0,0,0,0,0.0,56.614093259148426
1,5,1779059166420,1779059166452,32,23.0,0.0,128.0,319.0,0,0,0,0.0,59.268597643833836
1,5,1779059166549,1779059166588,39,97.0,0.0,129.0,257.0,0,0,0,0.0,58.366276412173335
1,5,1779059167108,1779059167205,97,520.0,0.0,559.0,688.0,0,0,0,0.0,137.2866020815983
1,5,1779059167717,1779059167789,72,512.0,0.0,609.0,1168.0,0,0,0,61.47540983606558,178.86497079578712
1,5,1779059167820,1779059167924,104,31.0,0.0,103.0,712.0,0,0,0,61.28702757916241,184.81281821826585
1,5,1779059168029,1779059168157,128,105.0,0.0,209.0,312.0,0,0,0,61.779242174629324,185.94769276450955
1,5,1779059168165,1779059168252,87,8.0,0.0,136.0,345.0,0,0,0,61.67763157894737,192.4162444054844
1,5,1779059168309,1779059168389,80,57.0,0.0,144.0,280.0,0,0,0,61.881188118811885,191.85075217760055
1,5,1779059168525,1779059168613,88,136.0,0.0,216.0,360.0,0,0,0,60.777957860615885,191.85075217760055
1,5,1779059168596,1779059168732,136,-17.0,17.0,71.0,287.0,0,0,0,61.28702757916241,199.96877534032933
1,5,1779059168717,1779059168861,144,-15.0,15.0,121.0,192.0,0,0,0,62.29235880398671,202.93031097179914
1,5,1779059168805,1779059168901,96,-56.0,56.0,88.0,209.0,0,0,0,63.99317406143345,212.36574844148268
1,5,1779059168925,1779059169044,119,24.0,0.0,120.0,208.0,0,0,0,64.99133448873484,162.8027095051622
1,5,1779059169181,1779059169276,95,137.0,0.0,256.0,376.0,0,0,0,62.07324643078833,66.64999791614575
1,5,1779059169285,1779059169357,72,9.0,0.0,104.0,360.0,0,0,0,63.02521008403361,67.37589413960399
1,5,1779059169413,1779059169524,111,56.0,0.0,128.0,232.0,0,0,0,64.43298969072164,63.70845051220976
1,5,1779059169517,1779059169612,95,-7.0,7.0,104.0,232.0,0,0,0,64.99133448873484,64.55695160089279
1,5,1779059169589,1779059169741,152,-23.0,23.0,72.0,176.0,0,0,0,64.7528599179797,66.10799245678757
1,5,1779059169677,1779059169805,128,-64.0,64.0,88.0,160.0,0,0,0,66.48936170212765,58.397488530472664
1,5,1779059169724,1779059169844,120,-81.0,81.0,47.0,135.0,0,0,0,69.20415224913495,64.22010761609049
1,5,1779059169925,1779059170012,87,81.0,0.0,201.0,248.0,0,0,0,69.31608133086877,69.05424598740404
1,5,1779059170052,1779059170180,128,40.0,0.0,127.0,328.0,0,0,0,70.37297677691767,65.82772127978384
1,5,1779059170357,1779059170469,112,177.0,0.0,305.0,432.0,0,0,0,67.56756756756756,83.09866959758683
1,5,1779059170637,1779059170725,88,168.0,0.0,280.0,585.0,0,0,0,66.13756613756614,87.87137063786926
1,5,1779059170789,1779059170860,71,64.0,0.0,152.0,432.0,0,0,0,66.711140760507,87.7426160236101
1,5,1779059170869,1779059170957,88,9.0,0.0,80.0,232.0,0,0,0,67.43088334457182,88.11381528707322
1,5,1779059171045,1779059171157,112,88.0,0.0,176.0,256.0,0,0,0,66.72597864768683,88.03591438851666
1,5,1779059171149,1779059171237,88,-8.0,8.0,104.0,280.0,0,0,0,74.23904974016334,86.85134170267935
1,5,1779059171293,1779059171405,112,56.0,0.0,144.0,248.0,0,0,0,83.89261744966443,77.54024044900105
1,5,1779059171412,1779059171500,88,7.0,0.0,119.0,263.0,0,0,0,83.51893095768375,63.571132512240936
