PARTICIPANT_ID,TEST_SECTION_ID,PRESS_TIME,RELEASE_TIME,DWELL_TIME,FLIGHT_TIME,OVERLAP_TIME,DIGRAPH_LATENCY,TRIGRAPH_LATENCY,IS_CORRECTION,IS_NAVIGATION,CTRL_BACKSPACE_PATTERN,ROLLING_WPM,RHYTHM_VARIANCE
2,1,1778930527,1778930527,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.42163702135578396
2,1,1778930527,1778930527,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.42163702135578396
2,1,1778930527,1778930528,1,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.42163702135578396
2,1,1778930528,1778930529,1,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.316227766016838
2,1,1778930529,1778930529,0,0.0,0.0,1.0,2.0,0,0,0,50000.0,0.316227766016838
2,1,1778930529,1778930529,0,0.0,0.0,0.0,1.0,0,0,0,50000.0,0.316227766016838
2,1,1778930529,1778930529,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.316227766016838
2,1,1778930529,1778930529,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930530,1778930530,0,1.0,0.0,1.0,1.0,0,0,0,50000.0,0.31622776601683794
2,1,1778930530,1778930530,0,0.0,0.0,0.0,1.0,0,0,0,50000.0,0.31622776601683794
2,1,1778930530,1778930530,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.31622776601683794
2,1,1778930531,1778930531,0,1.0,0.0,1.0,1.0,0,0,0,42857.142857142855,0.4216370213557839
2,1,1778930531,1778930531,0,0.0,0.0,0.0,1.0,0,0,0,42857.142857142855,0.4216370213557839
2,1,1778930531,1778930531,0,0.0,0.0,0.0,0.0,0,0,0,42857.142857142855,0.4216370213557839
2,1,1778930531,1778930531,0,0.0,0.0,0.0,0.0,0,0,0,42857.142857142855,0.4216370213557839
2,1,1778930532,1778930532,0,1.0,0.0,1.0,1.0,0,0,0,42857.142857142855,0.48304589153964794
2,1,1778930532,1778930532,0,0.0,0.0,0.0,1.0,0,0,0,42857.142857142855,0.48304589153964794
2,1,1778930532,1778930532,0,0.0,0.0,0.0,0.0,0,0,0,42857.142857142855,0.48304589153964794
2,1,1778930532,1778930532,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.42163702135578396
2,1,1778930532,1778930533,1,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.42163702135578396
2,1,1778930533,1778930533,0,0.0,0.0,1.0,1.0,0,0,0,42857.142857142855,0.42163702135578396
2,1,1778930533,1778930533,0,0.0,0.0,0.0,1.0,0,0,0,42857.142857142855,0.316227766016838
2,1,1778930533,1778930533,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.316227766016838
2,1,1778930533,1778930533,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.316227766016838
2,1,1778930533,1778930533,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.316227766016838
2,1,1778930534,1778930534,0,1.0,0.0,1.0,1.0,0,0,0,42857.142857142855,0.31622776601683794
2,1,1778930534,1778930534,0,0.0,0.0,0.0,1.0,0,0,0,42857.142857142855,0.31622776601683794
2,1,1778930534,1778930534,0,0.0,0.0,0.0,0.0,0,0,0,42857.142857142855,0.31622776601683794
2,1,1778930534,1778930534,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.31622776601683794
2,1,1778930534,1778930534,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930534,1778930534,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930534,1778930535,1,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930535,1778930535,0,0.0,0.0,1.0,1.0,0,0,0,50000.0,0.31622776601683794
2,1,1778930535,1778930535,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930535,1778930535,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930535,1778930535,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930535,1778930535,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930535,1778930535,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930536,1778930536,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930536,1778930536,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930536,1778930536,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930536,1778930536,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930536,1778930537,1,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930537,1778930537,0,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930537,1778930537,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930537,1778930537,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930537,1778930537,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930537,1778930537,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930538,1778930538,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930538,1778930538,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930538,1778930538,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930538,1778930538,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930538,1778930538,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930539,1778930539,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.4216370213557839
2,1,1778930539,1778930539,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.4216370213557839
2,1,1778930539,1778930539,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.4216370213557839
2,1,1778930539,1778930539,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.4216370213557839
2,1,1778930539,1778930539,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.4216370213557839
2,1,1778930539,1778930540,1,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930540,1778930540,0,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930540,1778930540,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
